,t,knn,MSE
186,7,sokalmichener,0.7152083
187,8,sokalmichener,0.7152083
188,9,sokalmichener,0.7152083
189,1,sokalsneath,0.7152083
190,2,sokalsneath,0.7152083
191,3,sokalsneath,0.7152083
192,4,sokalsneath,0.7152083
193,5,sokalsneath,0.7152083
194,6,sokalsneath,0.7152083
195,7,sokalsneath,0.7152083
196,8,sokalsneath,0.7152083
197,9,sokalsneath,0.7152083
198,1,sqeuclidean,0.69689476
199,2,sqeuclidean,0.69689476
200,3,sqeuclidean,0.69689476
201,4,sqeuclidean,0.69689476
202,5,sqeuclidean,0.69689476
203,6,sqeuclidean,0.69689476
204,7,sqeuclidean,0.69689476
205,8,sqeuclidean,0.69689476
206,9,sqeuclidean,0.69689476
207,1,yule,0.69689476
208,2,yule,0.69689476
209,3,yule,0.69689476
210,4,yule,0.69689476
211,5,yule,0.69689476
212,6,yule,0.69689476
213,7,yule,0.69689476
214,8,yule,0.69689476
215,9,yule,0.69689476
